nama_perusahaan,komoditas,satuan,tahun,nilai
"Aneka Tambang Tbk, PT",Ferro nickel,mt,2010,
"Aneka Tambang Tbk, PT",Ni In Fe Ni,ton,2010,
"Aneka Tambang Tbk, PT",Gold,kg,2010,
"Aneka Tambang Tbk, PT",Silver,kg,2010,
"Aneka Tambang Tbk, PT",Bauxite,mt,2010,
"Aneka Tambang Tbk, PT",Iron sand,wmt,2010,
"Avocet Bolaang Mongondouw, PT",Gold,kg,2000,
"Avocet Bolaang Mongondouw, PT",Silver,kg,2000,
"Avocet Bolaang Mongondouw, PT",Gold,kg,2001,
"Avocet Bolaang Mongondouw, PT",Silver,kg,2001,
"Avocet Bolaang Mongondouw, PT",Gold,kg,2002,
"Avocet Bolaang Mongondouw, PT",Silver,kg,2002,
"Avocet Bolaang Mongondouw, PT",Gold,kg,2003,
"Avocet Bolaang Mongondouw, PT",Silver,kg,2003,
"Avocet Bolaang Mongondouw, PT",Gold,kg,2004,
"Avocet Bolaang Mongondouw, PT",Silver,kg,2004,
"Avocet Bolaang Mongondouw, PT",Gold,kg,2005,1415
"Avocet Bolaang Mongondouw, PT",Silver,kg,2005,215
"Avocet Bolaang Mongondouw, PT",Gold,kg,2006,1560
"Avocet Bolaang Mongondouw, PT",Silver,kg,2006,340
"Avocet Bolaang Mongondouw, PT",Gold,kg,2007,2205
"Avocet Bolaang Mongondouw, PT",Silver,kg,2007,215
"Avocet Bolaang Mongondouw, PT",Gold,kg,2008,1445
"Avocet Bolaang Mongondouw, PT",Silver,kg,2008,190
"Avocet Bolaang Mongondouw, PT",Gold,kg,2009,1510
"Avocet Bolaang Mongondouw, PT",Silver,kg,2009,250
"Avocet Bolaang Mongondouw, PT",Gold,kg,2010,215
"Avocet Bolaang Mongondouw, PT",Silver,kg,2010,
"Barisan Tropical Mining, PT",Gold,kg,2000,
"Barisan Tropical Mining, PT",Silver,kg,2000,
"Barisan Tropical Mining, PT",Gold,kg,2001,
"Barisan Tropical Mining, PT",Silver,kg,2001,
"Barisan Tropical Mining, PT",Gold,kg,2002,
"Barisan Tropical Mining, PT",Silver,kg,2002,
"Barisan Tropical Mining, PT",Gold,kg,2003,
"Barisan Tropical Mining, PT",Silver,kg,2003,
"Barisan Tropical Mining, PT",Gold,kg,2004,
"Barisan Tropical Mining, PT",Silver,kg,2004,
"Barisan Tropical Mining, PT",Gold,kg,2005,
"Barisan Tropical Mining, PT",Silver,kg,2005,
"Barisan Tropical Mining, PT",Gold,kg,2006,
"Barisan Tropical Mining, PT",Silver,kg,2006,
"Barisan Tropical Mining, PT",Gold,kg,2007,
"Barisan Tropical Mining, PT",Silver,kg,2007,
"Barisan Tropical Mining, PT",Gold,kg,2008,
"Barisan Tropical Mining, PT",Silver,kg,2008,
"Barisan Tropical Mining, PT",Gold,kg,2009,
"Barisan Tropical Mining, PT",Silver,kg,2009,
"Barisan Tropical Mining, PT",Gold,kg,2010,
"Barisan Tropical Mining, PT",Silver,kg,2010,
"Freeport Indonesia, PT",Copper,ton,2000,556603
"Freeport Indonesia, PT",Gold,kg,2000,50726
"Freeport Indonesia, PT",Silver,kg,2000,83705
"Freeport Indonesia, PT",Copper,ton,2001,527709
"Freeport Indonesia, PT",Gold,kg,2001,71237
"Freeport Indonesia, PT",Silver,kg,2001,91112
"Freeport Indonesia, PT",Copper,ton,2002,615751
"Freeport Indonesia, PT",Gold,kg,2002,60691
"Freeport Indonesia, PT",Silver,kg,2002,105352
"Freeport Indonesia, PT",Copper,ton,2003,567576
"Freeport Indonesia, PT",Gold,kg,2003,74582
"Freeport Indonesia, PT",Silver,kg,2003,118473
"Freeport Indonesia, PT",Copper,ton,2004,512948
"Freeport Indonesia, PT",Gold,kg,2004,47407
"Freeport Indonesia, PT",Silver,kg,2004,146209
"Freeport Indonesia, PT",Copper,ton,2005,784732
"Freeport Indonesia, PT",Gold,kg,2005,106563
"Freeport Indonesia, PT",Silver,kg,2005,221904
"Freeport Indonesia, PT",Copper,ton,2006,611532
"Freeport Indonesia, PT",Gold,kg,2006,58287
"Freeport Indonesia, PT",Silver,kg,2006,167687
"Freeport Indonesia, PT",Copper,ton,2007,581899
"Freeport Indonesia, PT",Gold,kg,2007,83857
"Freeport Indonesia, PT",Silver,kg,2007,164709
"Freeport Indonesia, PT",Copper,ton,2008,313099
"Freeport Indonesia, PT",Gold,kg,2008,22146
"Freeport Indonesia, PT",Silver,kg,2008,84446
"Freeport Indonesia, PT",Copper,ton,2009,527878
"Freeport Indonesia, PT",Gold,kg,2009,63758
"Freeport Indonesia, PT",Silver,kg,2009,154230
"Freeport Indonesia, PT",Copper,ton,2010,100062
"Freeport Indonesia, PT",Gold,kg,2010,10066
"Freeport Indonesia, PT",Silver,kg,2010,30195
"Galuh Cempaka, PT",Diamond,crt,2000,
"Galuh Cempaka, PT",Gold,kg,2000,
"Galuh Cempaka, PT",Diamond,crt,2001,
"Galuh Cempaka, PT",Gold,kg,2001,
"Galuh Cempaka, PT",Diamond,crt,2002,
"Galuh Cempaka, PT",Gold,kg,2002,
"Galuh Cempaka, PT",Diamond,crt,2003,
"Galuh Cempaka, PT",Gold,kg,2003,
"Galuh Cempaka, PT",Diamond,crt,2004,
"Galuh Cempaka, PT",Gold,kg,2004,
"Galuh Cempaka, PT",Diamond,crt,2005,24075
"Galuh Cempaka, PT",Gold,kg,2005,4
"Galuh Cempaka, PT",Diamond,crt,2006,47039
"Galuh Cempaka, PT",Gold,kg,2006,15
"Galuh Cempaka, PT",Diamond,crt,2007,10411
"Galuh Cempaka, PT",Gold,kg,2007,
"Galuh Cempaka, PT",Diamond,crt,2008,32748
"Galuh Cempaka, PT",Gold,kg,2008,
"Galuh Cempaka, PT",Diamond,crt,2009,
"Galuh Cempaka, PT",Gold,kg,2009,
"Galuh Cempaka, PT",Diamond,crt,2010,
"Galuh Cempaka, PT",Gold,kg,2010,
"Gunung Kikara Mining, PT",Tin metal,ton,2000,
"Gunung Kikara Mining, PT",Tin metal,ton,2001,
"Gunung Kikara Mining, PT",Tin metal,ton,2002,
"Gunung Kikara Mining, PT",Tin metal,ton,2003,
"Gunung Kikara Mining, PT",Tin metal,ton,2004,
"Gunung Kikara Mining, PT",Tin metal,ton,2005,
"Gunung Kikara Mining, PT",Tin metal,ton,2006,
"Gunung Kikara Mining, PT",Tin metal,ton,2007,
"Gunung Kikara Mining, PT",Tin metal,ton,2008,
"Gunung Kikara Mining, PT",Tin metal,ton,2009,
"Gunung Kikara Mining, PT",Tin metal,ton,2010,
"Indo Muro Kencana, PT",Gold,kg,2000,3003
"Indo Muro Kencana, PT",Silver,kg,2000,63828
"Indo Muro Kencana, PT",Gold,kg,2001,
"Indo Muro Kencana, PT",Silver,kg,2001,
"Indo Muro Kencana, PT",Gold,kg,2002,
"Indo Muro Kencana, PT",Silver,kg,2002,
"Indo Muro Kencana, PT",Gold,kg,2003,
"Indo Muro Kencana, PT",Silver,kg,2003,
"Indo Muro Kencana, PT",Gold,kg,2004,
"Indo Muro Kencana, PT",Silver,kg,2004,
"Indo Muro Kencana, PT",Gold,kg,2005,349
"Indo Muro Kencana, PT",Silver,kg,2005,2276
"Indo Muro Kencana, PT",Gold,kg,2006,1341
"Indo Muro Kencana, PT",Silver,kg,2006,8202
"Indo Muro Kencana, PT",Gold,kg,2007,1314
"Indo Muro Kencana, PT",Silver,kg,2007,10322
"Indo Muro Kencana, PT",Gold,kg,2008,1590
"Indo Muro Kencana, PT",Silver,kg,2008,7936
"Indo Muro Kencana, PT",Gold,kg,2009,1178
"Indo Muro Kencana, PT",Silver,kg,2009,6642
"Indo Muro Kencana, PT",Gold,kg,2010,219
"Indo Muro Kencana, PT",Silver,kg,2010,405
"International Nickel Ind, PT",Ni+Co in matte,ton,2000,54083
"International Nickel Ind, PT",Ni+Co in matte,ton,2001,61293
"International Nickel Ind, PT",Ni+Co in matte,ton,2002,62780
"International Nickel Ind, PT",Ni+Co in matte,ton,2003,71521
"International Nickel Ind, PT",Ni+Co in matte,ton,2004,6003
"International Nickel Ind, PT",Ni+Co in matte,ton,2005,77218
"International Nickel Ind, PT",Ni+Co in matte,ton,2006,72879
"International Nickel Ind, PT",Ni+Co in matte,ton,2007,77838
"International Nickel Ind, PT",Ni+Co in matte,ton,2008,74030
"International Nickel Ind, PT",Ni+Co in matte,ton,2009,67782
"International Nickel Ind, PT",Ni+Co in matte,ton,2010,18021
"Karimun Granite, PT",Granite,ton,2000,4380316
"Karimun Granite, PT",Granite,ton,2001,4001924
"Karimun Granite, PT",Granite,ton,2002,3539306
"Karimun Granite, PT",Granite,ton,2003,3279660
"Karimun Granite, PT",Granite,ton,2004,3498873
"Karimun Granite, PT",Granite,ton,2005,3856074
"Karimun Granite, PT",Granite,ton,2006,5160623
"Karimun Granite, PT",Granite,ton,2007,684948
"Karimun Granite, PT",Granite,ton,2008,
"Karimun Granite, PT",Granite,ton,2009,
"Karimun Granite, PT",Granite,ton,2010,
"Kelian Equatorial Mining, PT",Gold,kg,2000,9826
"Kelian Equatorial Mining, PT",Silver,kg,2000,8670
"Kelian Equatorial Mining, PT",Gold,kg,2001,14501
"Kelian Equatorial Mining, PT",Silver,kg,2001,
"Kelian Equatorial Mining, PT",Gold,kg,2002,16875
"Kelian Equatorial Mining, PT",Silver,kg,2002,15540
"Kelian Equatorial Mining, PT",Gold,kg,2003,13595
"Kelian Equatorial Mining, PT",Silver,kg,2003,9300
"Kelian Equatorial Mining, PT",Gold,kg,2004,8645
"Kelian Equatorial Mining, PT",Silver,kg,2004,4600
"Kelian Equatorial Mining, PT",Gold,kg,2005,2815
"Kelian Equatorial Mining, PT",Silver,kg,2005,
"Kelian Equatorial Mining, PT",Gold,kg,2006,
"Kelian Equatorial Mining, PT",Silver,kg,2006,
"Kelian Equatorial Mining, PT",Gold,kg,2007,
"Kelian Equatorial Mining, PT",Silver,kg,2007,
"Kelian Equatorial Mining, PT",Gold,kg,2008,
"Kelian Equatorial Mining, PT",Silver,kg,2008,
"Kelian Equatorial Mining, PT",Gold,kg,2009,
"Kelian Equatorial Mining, PT",Silver,kg,2009,
"Kelian Equatorial Mining, PT",Gold,kg,2010,
"Kelian Equatorial Mining, PT",Silver,kg,2010,
"Koba Tin, PT",Tin metal,ton,2000,9398
"Koba Tin, PT",Tin metal,ton,2001,15653
"Koba Tin, PT",Tin metal,ton,2002,19199
"Koba Tin, PT",Tin metal,ton,2003,11976
"Koba Tin, PT",Tin metal,ton,2004,26063
"Koba Tin, PT",Tin metal,ton,2005,25797
"Koba Tin, PT",Tin metal,ton,2006,20738
"Koba Tin, PT",Tin metal,ton,2007,5782
"Koba Tin, PT",Tin metal,ton,2008,4427
"Koba Tin, PT",Tin metal,ton,2009,6115
"Koba Tin, PT",Tin metal,ton,2010,1477
"Lusang Mining, PT",Gold,kg,2000,
"Lusang Mining, PT",Silver,kg,2000,
"Lusang Mining, PT",Gold,kg,2001,
"Lusang Mining, PT",Silver,kg,2001,
"Lusang Mining, PT",Gold,kg,2002,
"Lusang Mining, PT",Silver,kg,2002,
"Lusang Mining, PT",Gold,kg,2003,
"Lusang Mining, PT",Silver,kg,2003,
"Lusang Mining, PT",Gold,kg,2004,
"Lusang Mining, PT",Silver,kg,2004,
"Lusang Mining, PT",Gold,kg,2005,
"Lusang Mining, PT",Silver,kg,2005,
"Lusang Mining, PT",Gold,kg,2006,
"Lusang Mining, PT",Silver,kg,2006,
"Lusang Mining, PT",Gold,kg,2007,
"Lusang Mining, PT",Silver,kg,2007,
"Lusang Mining, PT",Gold,kg,2008,
"Lusang Mining, PT",Silver,kg,2008,
"Lusang Mining, PT",Gold,kg,2009,
"Lusang Mining, PT",Silver,kg,2009,
"Lusang Mining, PT",Gold,kg,2010,
"Lusang Mining, PT",Silver,kg,2010,
"Monterado Mas Mining, PT",Gold,kg,2000,
"Monterado Mas Mining, PT",Silver,kg,2000,
"Monterado Mas Mining, PT",Gold,kg,2001,
"Monterado Mas Mining, PT",Silver,kg,2001,
"Monterado Mas Mining, PT",Gold,kg,2002,
"Monterado Mas Mining, PT",Silver,kg,2002,
"Monterado Mas Mining, PT",Gold,kg,2003,
"Monterado Mas Mining, PT",Silver,kg,2003,
"Monterado Mas Mining, PT",Gold,kg,2004,
"Monterado Mas Mining, PT",Silver,kg,2004,
"Monterado Mas Mining, PT",Gold,kg,2005,
"Monterado Mas Mining, PT",Silver,kg,2005,
"Monterado Mas Mining, PT",Gold,kg,2006,
"Monterado Mas Mining, PT",Silver,kg,2006,
"Monterado Mas Mining, PT",Gold,kg,2007,
"Monterado Mas Mining, PT",Silver,kg,2007,
"Monterado Mas Mining, PT",Gold,kg,2008,
"Monterado Mas Mining, PT",Silver,kg,2008,
"Monterado Mas Mining, PT",Gold,kg,2009,
"Monterado Mas Mining, PT",Silver,kg,2009,
"Monterado Mas Mining, PT",Gold,kg,2010,
"Monterado Mas Mining, PT",Silver,kg,2010,
"Newmont Minahasa Raya, PT",Gold,kg,2000,6635
"Newmont Minahasa Raya, PT",Silver,kg,2000,535
"Newmont Minahasa Raya, PT",Gold,kg,2001,9702
"Newmont Minahasa Raya, PT",Silver,kg,2001,550
"Newmont Minahasa Raya, PT",Gold,kg,2002,4870
"Newmont Minahasa Raya, PT",Silver,kg,2002,505
"Newmont Minahasa Raya, PT",Gold,kg,2003,2892
"Newmont Minahasa Raya, PT",Silver,kg,2003,
"Newmont Minahasa Raya, PT",Gold,kg,2004,2065
"Newmont Minahasa Raya, PT",Silver,kg,2004,
"Newmont Minahasa Raya, PT",Gold,kg,2005,
"Newmont Minahasa Raya, PT",Silver,kg,2005,
"Newmont Minahasa Raya, PT",Gold,kg,2006,
"Newmont Minahasa Raya, PT",Silver,kg,2006,
"Newmont Minahasa Raya, PT",Gold,kg,2007,
